From,To,Time
170,109,0
46,135,2797
46,250,3304
2,226,4523
2,97,7926
12,116,19403
243,102,19560
189,108,21077
189,118,21280
162,158,21793
275,126,21799
189,104,22038
169,38,23175
169,259,23263
273,62,23553
273,11,23553
273,123,23553
273,160,23553
273,40,23553
273,45,23553
273,229,23553
273,265,23553
273,133,23553
273,178,23553
273,54,23553
273,89,23553
273,237,23553
273,157,23553
273,227,23553
273,122,23553
273,276,23553
165,216,23646
49,149,23652
235,194,23712
8,43,23813
125,115,24004
165,242,24076
121,270,24275
87,94,24522
87,120,24522
87,74,24522
87,245,24522
87,185,24522
253,280,24710
42,106,25325
202,51,25424
42,250,25431
260,223,25503
203,221,25597
207,84,25656
10,38,25811
266,153,25991
20,105,26225
20,43,26225
156,5,26272
156,41,26402
130,214,26872
130,203,26872
104,42,27094
222,177,27133
259,38,27145
222,132,27176
165,136,27235
165,263,27235
165,119,27235
222,263,27254
191,33,27343
200,53,27362
257,169,27408
165,174,27492
165,176,27492
165,86,27492
33,76,27598
256,47,27689
256,172,27689
256,168,27689
256,196,27689
256,269,27689
154,60,27718
222,23,28137
200,198,28150
42,63,28193
164,112,28260
164,138,28260
164,59,28260
164,260,28260
164,140,28260
124,251,28326
180,7,28393
16,249,28544
105,111,28555
275,244,28632
222,35,28784
183,195,28792
80,208,29445
108,32,29586
85,61,29670
85,210,29670
85,143,29670
127,142,29693
62,227,29736
62,133,29736
126,9,29824
74,245,29864
74,94,29864
193,226,29871
180,42,29928
161,181,29929
218,36,29998
13,267,30009
182,14,30072
166,242,30076
166,9,30076
73,56,30105
29,64,30274
129,151,30281
187,154,30392
125,132,30463
78,237,30470
81,258,30512
233,52,30698
57,148,30899
13,162,30932
18,184,30953
250,135,30970
25,65,31232
132,37,31258
132,115,31258
132,84,31258
10,279,31335
204,13,31377
82,246,31461
71,209,31471
147,247,31576
147,180,31576
62,264,31652
195,154,31721
195,213,31721
195,280,31721
276,76,31773
211,38,32006
215,241,32126
79,236,32180
79,50,32180
183,113,32305
31,61,32748
6,231,32901
210,17,32914
6,113,32993
91,121,33058
207,163,33082
198,68,33127
218,241,33315
218,215,33315
232,219,33352
164,188,33375
101,148,33383
167,46,33417
167,75,33417
167,24,33417
167,128,33417
165,66,33424
165,0,33424
165,271,33424
165,117,33424
165,4,33424
165,88,33424
165,199,33424
165,71,33424
165,205,33424
165,99,33424
165,277,33424
165,152,33424
165,134,33424
238,155,33587
165,143,33645
171,87,33650
180,19,33869
198,219,33938
218,217,34082
74,120,34128
54,165,34225
54,40,34225
54,122,34225
52,30,34383
3,31,34566
52,67,34713
96,162,35023
84,77,35224
84,115,35224
84,125,35224
153,109,35388
153,275,35388
153,234,35388
153,15,35388
153,26,35388
153,107,35388
153,126,35388
153,21,35388
153,70,35388
153,278,35388
153,144,35388
153,67,35388
153,228,35388
153,225,35388
153,103,35388
240,202,35420
22,169,35731
22,38,35731
281,272,35739
255,238,35995
255,230,35995
255,212,35995
255,150,35995
255,34,36092
255,72,36092
255,137,36092
255,145,36092
255,131,36092
255,110,36092
255,155,36092
255,159,36092
255,184,36092
255,220,36092
39,180,36324
92,1,36346
93,153,36473
108,110,36573
198,42,36632
198,100,36632
108,157,36666
108,238,36768
154,48,36838
62,139,36915
241,261,36941
147,139,36963
20,268,37139
20,62,37139
83,218,37243
100,19,37277
100,190,37277
100,197,37277
17,114,37399
275,225,37417
17,206,37684
17,277,37684
239,10,37939
239,201,37939
20,186,38045
180,247,38089
28,262,38249
28,146,38249
28,90,38249
198,179,38285
141,235,38287
210,248,38297
98,95,38315
214,197,38452
194,96,38549
194,204,38549
194,192,38549
194,252,38549
194,162,38549
194,13,38549
194,95,38549
27,173,38609
52,251,38708
18,42,38710
210,274,38779
224,63,38862
52,217,38886
281,55,38979
58,254,39106
52,69,39156
25,237,39437
25,273,39437
44,175,39458
44,171,39458
37,84,39759
55,61,39873
55,210,39873
55,69,39873
55,118,39873
55,134,39873
55,71,39873
55,209,39873
55,248,39873
