From,To,Time
42,8,1999-01-04 10:21:00
42,84,1999-01-04 10:21:00
47,118,1999-01-05 06:36:00
47,117,1999-01-05 06:36:00
47,115,1999-01-05 06:36:00
42,71,1999-01-05 14:54:00
76,87,1999-01-06 15:30:00
76,101,1999-01-06 15:30:00
76,97,1999-01-06 15:30:00
76,119,1999-01-06 15:30:00
76,70,1999-01-06 15:30:00
47,59,1999-01-06 16:09:00
47,86,1999-01-06 16:09:00
42,106,1999-01-07 16:42:00
42,96,1999-01-07 16:59:00
42,50,1999-01-08 11:38:00
42,7,1999-01-08 16:15:00
42,108,1999-01-12 10:19:00
42,107,1999-01-13 08:51:00
42,6,1999-01-13 14:41:00
42,63,1999-01-13 14:41:00
42,17,1999-01-13 14:41:00
42,23,1999-01-13 14:41:00
42,40,1999-01-13 14:41:00
42,9,1999-01-13 14:41:00
42,56,1999-01-13 14:41:00
42,62,1999-01-13 14:41:00
42,48,1999-01-13 14:41:00
42,85,1999-01-13 14:41:00
42,24,1999-01-13 14:41:00
42,78,1999-01-13 14:41:00
42,93,1999-01-13 14:41:00
42,46,1999-01-13 14:41:00
42,19,1999-01-13 14:41:00
42,69,1999-01-13 14:41:00
42,30,1999-01-13 14:41:00
42,39,1999-01-13 14:41:00
42,61,1999-01-13 14:41:00
42,36,1999-01-13 14:41:00
42,13,1999-01-13 14:41:00
42,89,1999-01-13 14:41:00
42,1,1999-01-13 14:41:00
42,15,1999-01-13 14:41:00
42,28,1999-01-13 14:41:00
42,44,1999-01-13 14:41:00
42,65,1999-01-13 14:41:00
42,67,1999-01-13 14:41:00
42,114,1999-01-13 14:41:00
42,45,1999-01-13 14:41:00
42,29,1999-01-13 14:41:00
42,18,1999-01-13 14:41:00
42,2,1999-01-13 14:41:00
42,34,1999-01-13 14:41:00
42,68,1999-01-13 14:41:00
42,60,1999-01-13 14:41:00
42,57,1999-01-13 14:41:00
42,64,1999-01-13 14:41:00
42,77,1999-01-13 14:41:00
42,103,1999-01-14 18:22:00
42,112,1999-01-14 18:41:00
42,113,1999-01-15 09:17:00
42,27,1999-01-15 09:25:00
42,110,1999-01-15 15:22:00
42,111,1999-01-15 15:22:00
42,109,1999-01-15 15:22:00
10,42,1999-01-18 08:39:00
42,99,1999-01-18 15:10:00
42,104,1999-01-20 09:52:00
42,102,1999-01-20 18:59:00
41,74,1999-01-21 15:35:00
41,8,1999-01-21 15:35:00
41,26,1999-01-21 15:35:00
41,31,1999-01-21 15:35:00
41,41,1999-01-21 15:35:00
41,55,1999-01-21 15:35:00
41,52,1999-01-21 15:35:00
41,43,1999-01-21 15:35:00
