From,To,Time
0,1,2010-01-02 17:40:10
0,16,2010-01-02 17:40:10
0,15,2010-01-02 17:40:10
0,14,2010-01-02 17:40:10
0,13,2010-01-02 17:40:10
0,12,2010-01-02 17:40:10
0,11,2010-01-02 17:40:10
0,9,2010-01-02 17:40:10
0,10,2010-01-02 17:40:10
0,7,2010-01-02 17:40:10
0,6,2010-01-02 17:40:10
0,5,2010-01-02 17:40:10
0,4,2010-01-02 17:40:10
0,3,2010-01-02 17:40:10
0,2,2010-01-02 17:40:10
0,8,2010-01-02 17:40:10
17,18,2010-01-04 05:38:46
19,2,2010-01-04 06:08:09
19,20,2010-01-04 06:10:29
19,21,2010-01-04 06:11:28
19,22,2010-01-04 06:11:56
23,24,2010-01-04 06:35:08
25,26,2010-01-04 06:35:43
27,28,2010-01-04 06:36:40
28,29,2010-01-04 06:42:13
10,32,2010-01-04 06:48:05
10,24,2010-01-04 06:48:05
10,31,2010-01-04 06:48:05
10,30,2010-01-04 06:48:05
33,20,2010-01-04 06:54:14
34,2,2010-01-04 06:55:15
35,36,2010-01-04 06:55:21
22,20,2010-01-04 07:00:13
35,37,2010-01-04 07:01:48
38,20,2010-01-04 07:01:53
12,2,2010-01-04 07:02:33
12,39,2010-01-04 07:02:33
12,7,2010-01-04 07:02:33
12,34,2010-01-04 07:02:33
12,40,2010-01-04 07:02:33
12,3,2010-01-04 07:02:33
41,42,2010-01-04 07:04:36
41,43,2010-01-04 07:06:36
25,44,2010-01-04 07:08:12
45,20,2010-01-04 07:09:49
41,2,2010-01-04 07:10:53
46,47,2010-01-04 07:12:47
15,7,2010-01-04 07:12:58
48,41,2010-01-04 07:14:08
25,20,2010-01-04 07:14:25
48,20,2010-01-04 07:14:30
25,31,2010-01-04 07:14:38
28,21,2010-01-04 07:14:48
2,52,2010-01-04 07:15:14
2,17,2010-01-04 07:15:14
2,51,2010-01-04 07:15:14
2,49,2010-01-04 07:15:14
2,7,2010-01-04 07:15:14
2,50,2010-01-04 07:15:14
45,0,2010-01-04 07:17:01
53,16,2010-01-04 07:17:07
54,55,2010-01-04 07:18:25
54,49,2010-01-04 07:19:24
26,41,2010-01-04 07:21:43
18,56,2010-01-04 07:22:10
18,57,2010-01-04 07:23:00
18,49,2010-01-04 07:23:08
54,22,2010-01-04 07:23:47
18,20,2010-01-04 07:25:22
18,22,2010-01-04 07:25:22
58,1,2010-01-04 07:25:58
33,23,2010-01-04 07:26:02
38,26,2010-01-04 07:26:11
54,20,2010-01-04 07:26:26
54,41,2010-01-04 07:27:17
59,22,2010-01-04 07:34:37
60,32,2010-01-04 07:40:20
60,22,2010-01-04 07:40:49
61,62,2010-01-04 07:42:12
61,63,2010-01-04 07:42:12
61,41,2010-01-04 07:42:12
64,49,2010-01-04 07:43:10
64,22,2010-01-04 07:45:56
57,20,2010-01-04 07:48:46
2,68,2010-01-04 07:48:57
2,16,2010-01-04 07:48:57
2,67,2010-01-04 07:48:57
2,66,2010-01-04 07:48:57
2,65,2010-01-04 07:48:57
69,20,2010-01-04 07:50:10
9,6,2010-01-04 07:53:51
4,10,2010-01-04 07:53:56
4,72,2010-01-04 07:53:56
4,73,2010-01-04 07:53:56
4,70,2010-01-04 07:53:56
4,71,2010-01-04 07:53:56
9,20,2010-01-04 07:54:02
3,2,2010-01-04 07:56:41
65,26,2010-01-04 07:56:52
14,26,2010-01-04 07:58:16
12,14,2010-01-04 08:04:07
61,34,2010-01-04 08:06:30
61,32,2010-01-04 08:06:30
61,7,2010-01-04 08:06:30
61,2,2010-01-04 08:06:30
61,14,2010-01-04 08:06:30
61,19,2010-01-04 08:06:30
3,15,2010-01-04 08:12:30
14,60,2010-01-04 08:15:19
14,11,2010-01-04 08:15:19
29,31,2010-01-04 08:16:03
5,6,2010-01-04 08:21:31
67,47,2010-01-04 08:31:15
31,14,2010-01-04 08:32:00
2,26,2010-01-04 08:34:47
49,46,2010-01-04 08:36:01
67,26,2010-01-04 08:39:03
49,67,2010-01-04 08:44:21
25,24,2010-01-04 08:50:17
25,23,2010-01-04 08:50:45
16,55,2010-01-04 08:53:39
16,14,2010-01-04 08:53:39
67,73,2010-01-04 09:01:23
0,72,2010-01-04 09:10:31
32,14,2010-01-04 09:23:28
30,20,2010-01-04 09:38:48
23,61,2010-01-04 09:43:06
23,50,2010-01-04 09:43:06
23,2,2010-01-04 09:43:06
23,7,2010-01-04 09:43:06
73,0,2010-01-04 09:55:38
63,66,2010-01-04 10:00:24
53,55,2010-01-04 10:47:39
31,6,2010-01-04 10:48:25
41,32,2010-01-04 10:53:50
20,46,2010-01-04 10:56:12
20,47,2010-01-04 10:56:12
20,68,2010-01-04 10:56:12
20,67,2010-01-04 10:56:12
20,55,2010-01-04 10:56:12
11,30,2010-01-04 10:59:15
11,24,2010-01-04 10:59:15
44,62,2010-01-04 11:09:34
71,14,2010-01-04 11:18:01
71,70,2010-01-04 11:18:01
26,68,2010-01-04 11:22:34
58,68,2010-01-04 11:23:26
34,19,2010-01-04 11:27:02
37,33,2010-01-04 11:34:56
62,43,2010-01-04 11:35:00
61,67,2010-01-04 11:35:47
61,58,2010-01-04 11:35:47
61,25,2010-01-04 11:35:47
61,26,2010-01-04 11:35:47
61,8,2010-01-04 11:35:47
61,71,2010-01-04 11:35:47
61,68,2010-01-04 11:35:47
61,38,2010-01-04 11:35:47
61,37,2010-01-04 11:35:47
44,42,2010-01-04 11:42:21
28,62,2010-01-04 11:55:47
28,41,2010-01-04 12:05:27
18,8,2010-01-04 12:08:12
18,66,2010-01-04 12:08:12
18,37,2010-01-04 12:08:12
18,16,2010-01-04 12:08:12
18,6,2010-01-04 12:08:12
18,65,2010-01-04 12:08:12
18,0,2010-01-04 12:08:12
73,8,2010-01-04 12:08:20
73,13,2010-01-04 12:08:20
73,64,2010-01-04 12:08:20
73,71,2010-01-04 12:08:20
3,47,2010-01-04 12:15:37
72,71,2010-01-04 12:16:42
8,16,2010-01-04 12:22:31
8,66,2010-01-04 12:36:15
8,65,2010-01-04 12:36:15
32,4,2010-01-04 12:38:36
12,64,2010-01-04 12:52:04
3,64,2010-01-04 12:52:57
41,21,2010-01-04 12:59:29
66,65,2010-01-04 13:34:10
32,57,2010-01-04 13:36:10
32,45,2010-01-04 13:36:10
32,21,2010-01-04 13:36:10
62,21,2010-01-04 13:49:16
41,63,2010-01-04 13:57:52
41,62,2010-01-04 13:57:52
44,61,2010-01-04 14:00:38
62,36,2010-01-04 14:13:52
58,71,2010-01-04 14:24:51
73,3,2010-01-04 14:30:38
37,66,2010-01-04 19:30:23
53,14,2010-01-05 07:48:38
53,9,2010-01-05 07:48:38
28,6,2010-01-05 07:51:12
14,65,2010-01-05 07:59:20
41,6,2010-01-05 08:25:16
67,63,2010-01-05 09:05:23
6,21,2010-01-05 09:18:23
28,22,2010-01-05 09:22:47
14,6,2010-01-05 09:31:29
68,63,2010-01-05 09:32:52
47,55,2010-01-05 09:34:04
14,55,2010-01-05 10:26:49
47,52,2010-01-05 10:30:17
23,31,2010-01-05 10:35:31
53,32,2010-01-05 10:37:37
69,52,2010-01-05 11:00:03
3,34,2010-01-05 11:05:29
3,26,2010-01-05 11:05:30
11,71,2010-01-05 11:07:25
58,46,2010-01-05 11:16:26
58,47,2010-01-05 11:16:26
58,55,2010-01-05 11:16:26
58,67,2010-01-05 11:16:26
58,66,2010-01-05 11:16:26
3,17,2010-01-05 11:16:43
37,31,2010-01-05 11:42:20
55,60,2010-01-05 11:55:21
17,56,2010-01-05 12:15:11
17,54,2010-01-05 12:15:11
50,34,2010-01-05 12:15:25
50,7,2010-01-05 12:15:25
37,12,2010-01-05 12:52:24
37,14,2010-01-05 12:52:24
37,38,2010-01-05 12:52:24
65,58,2010-01-05 12:55:56
52,30,2010-01-05 12:57:32
63,65,2010-01-05 13:02:29
12,16,2010-01-05 13:44:45
17,46,2010-01-05 13:51:26
17,6,2010-01-05 13:51:26
17,0,2010-01-05 13:51:26
26,12,2010-01-05 13:52:28
53,60,2010-01-05 13:55:19
37,36,2010-01-05 14:49:38
37,21,2010-01-05 15:03:21
0,37,2010-01-05 23:44:20
32,33,2010-01-06 06:30:32
26,63,2010-01-06 06:32:38
3,52,2010-01-06 07:37:29
71,66,2010-01-06 07:44:53
49,14,2010-01-06 07:54:14
49,53,2010-01-06 07:54:14
49,12,2010-01-06 07:54:14
55,67,2010-01-06 08:16:54
14,4,2010-01-06 08:37:12
1,46,2010-01-06 09:23:07
1,47,2010-01-06 09:23:07
